model,classic_acc,codemode_acc,gap_pp,n_domains
qwen3-30b-a3b,0.410,0.528,11.8,4
qwen3-coder-30b-a3b-instruct,0.549,0.625,7.6,4
qwen3-235b-a22b-2507,0.736,0.778,4.2,4
qwen3-8b,0.410,0.375,-3.5,4
qwen3-14b,0.639,0.583,-5.6,4
deepseek-chat-v3-0324,0.549,0.408,-14.0,4
