model,classic_acc,codemode_acc
qwen3-30b-a3b,0.95,0.95
qwen3-coder-30b-a3b-instruct,0.35,1.0
qwen3-8b,0.7000000000000001,
qwen3-14b,0.8500000000000002,0.9666666666666666
qwen3-235b-a22b-2507,0.7666666666666666,0.95
deepseek-chat-v3-0324,0.7000000000000001,1.0
